Date_ID,Date,Year,Month_Number,Month_Name,Quarter
1,2024-02-10,2024,2,February,Q1
2,2024-02-11,2024,2,February,Q1
3,2024-02-12,2024,2,February,Q1
4,2024-02-14,2024,2,February,Q1
5,2024-02-15,2024,2,February,Q1
6,2024-02-16,2024,2,February,Q1
7,2024-02-17,2024,2,February,Q1
8,2024-02-18,2024,2,February,Q1
9,2024-02-19,2024,2,February,Q1
10,2024-02-20,2024,2,February,Q1
11,2024-02-21,2024,2,February,Q1
12,2024-02-22,2024,2,February,Q1
13,2024-02-23,2024,2,February,Q1
14,2024-02-24,2024,2,February,Q1
15,2024-02-25,2024,2,February,Q1
16,2024-02-26,2024,2,February,Q1
17,2024-02-27,2024,2,February,Q1
18,2024-02-28,2024,2,February,Q1
19,2024-02-29,2024,2,February,Q1
20,2024-03-01,2024,3,March,Q1
21,2024-03-02,2024,3,March,Q1
22,2024-03-03,2024,3,March,Q1
23,2024-03-04,2024,3,March,Q1
24,2024-03-05,2024,3,March,Q1
25,2024-03-06,2024,3,March,Q1
26,2024-03-07,2024,3,March,Q1
27,2024-03-08,2024,3,March,Q1
28,2024-03-09,2024,3,March,Q1
29,2024-03-10,2024,3,March,Q1
30,2024-03-11,2024,3,March,Q1
31,2024-03-12,2024,3,March,Q1
32,2024-03-13,2024,3,March,Q1
33,2024-03-14,2024,3,March,Q1
34,2024-03-15,2024,3,March,Q1
35,2024-03-16,2024,3,March,Q1
36,2024-03-17,2024,3,March,Q1
37,2024-03-18,2024,3,March,Q1
38,2024-03-19,2024,3,March,Q1
39,2024-03-21,2024,3,March,Q1
40,2024-03-22,2024,3,March,Q1
41,2024-03-23,2024,3,March,Q1
42,2024-03-24,2024,3,March,Q1
43,2024-03-25,2024,3,March,Q1
44,2024-03-26,2024,3,March,Q1
45,2024-03-27,2024,3,March,Q1
46,2024-03-28,2024,3,March,Q1
47,2024-03-29,2024,3,March,Q1
48,2024-03-30,2024,3,March,Q1
49,2024-03-31,2024,3,March,Q1
50,2024-04-01,2024,4,April,Q2
51,2024-04-02,2024,4,April,Q2
52,2024-04-03,2024,4,April,Q2
53,2024-04-04,2024,4,April,Q2
54,2024-04-05,2024,4,April,Q2
55,2024-04-06,2024,4,April,Q2
56,2024-04-07,2024,4,April,Q2
57,2024-04-08,2024,4,April,Q2
58,2024-04-09,2024,4,April,Q2
59,2024-04-10,2024,4,April,Q2
60,2024-04-11,2024,4,April,Q2
61,2024-04-13,2024,4,April,Q2
62,2024-04-14,2024,4,April,Q2
63,2024-04-15,2024,4,April,Q2
64,2024-04-16,2024,4,April,Q2
65,2024-04-17,2024,4,April,Q2
66,2024-04-18,2024,4,April,Q2
67,2024-04-19,2024,4,April,Q2
68,2024-04-20,2024,4,April,Q2
69,2024-04-21,2024,4,April,Q2
70,2024-04-22,2024,4,April,Q2
