Campaign_ID,Budget,Spend,Revenue,Clicks,Conversions,Impressions,CTR,Conversion_Rate,CPA,ROAS,Budget_Utilization
C1002,9950,10348.0,320788,1806,1612,9928,0.18190975020145045,0.8925802879291251,6.419354838709677,31.0,1.04
C1011,8680,9027.2,309636,1764,1692,3958,0.4456796361798888,0.9591836734693877,5.335224586288416,34.300336760014176,1.04
C4053,9100,8918.0,309132,1739,1662,2177,0.7988056959118053,0.9557216791259344,5.365824308062575,34.66382596994842,0.98
C2290,7220,7292.2,308682,1930,1559,5927,0.32562847983802934,0.8077720207253886,4.677485567671584,42.33043525959244,1.01
C5910,19230,19746.6,308142,2801,1700,8038,0.348469768599154,0.6069260978222063,11.615647058823528,15.60481298046246,1.0268642745709828
C1153,8520,8775.6,306152,1604,1562,7801,0.20561466478656582,0.9738154613466334,5.618181818181818,34.88673139158576,1.03
C6303,15030,14923.8,301296,2308,2244,14524,0.15890939135224455,0.9722703639514731,6.650534759358289,20.188959916375186,0.9929341317365269
C5439,9130,9221.3,300700,1659,1550,9611,0.1726147123088128,0.9342977697408077,5.949225806451612,32.60928502488803,1.01
C9010,9060,9051.6,296836,2266,1928,11865,0.1909818794774547,0.8508384819064431,4.694813278008299,32.79376021918777,0.9990728476821192
C6513,10100,9977.5,283142,3103,1615,15204,0.20409102867666404,0.5204640670319046,6.178018575851393,28.378050613881232,0.9878712871287129
