Campaign_ID,Budget,Spend,Revenue,Clicks,Conversions,Impressions,CTR,Conversion_Rate,CPA,ROAS,Budget_Utilization
C1783,2080,1976.0,173847,1180,1041,3358,0.3513996426444312,0.8822033898305085,1.8981748318924112,87.97925101214575,0.95
C6062,3080,2987.6,248886,1435,1257,2980,0.4815436241610738,0.8759581881533101,2.3767700875099442,83.30633284241532,0.97
C2608,2750,2777.5,223200,1455,1395,6223,0.2338100594568536,0.9587628865979382,1.9910394265232976,80.36003600360036,1.01
C5887,2050,2111.5,155551,1904,869,1393,1.3668341708542713,0.4564075630252101,2.4298043728423475,73.66848212171442,1.03
C2514,2810,2950.5,206124,1491,1068,9119,0.16350477025989693,0.716297786720322,2.7626404494382024,69.86070157600406,1.05
C8825,2700,2565.0,171838,1680,1138,7194,0.2335279399499583,0.6773809523809524,2.2539543057996485,66.9933723196881,0.95
C9923,2280,2280.0,143576,1262,1048,2800,0.45071428571428573,0.8304278922345484,2.1755725190839694,62.97192982456141,1.0
C5999,2540,2514.6,157136,1598,854,2501,0.6389444222311076,0.5344180225281602,2.9444964871194377,62.489461544579655,0.99
C6926,3170,3138.3,195624,1646,1482,5326,0.30904994367254973,0.9003645200486027,2.1176113360323887,62.33438485804416,0.9900000000000001
C5704,3940,4097.6,253500,1721,1690,6486,0.265340733888375,0.9819872167344567,2.4246153846153846,61.86548223350253,1.04
