Month,ROAS,CPA,Spend,Revenue,Conversions
2024-02,10.413064773730019,11.215782442077137,319010.5,3321877,28443
2024-03,9.392164086441252,12.812612634612098,524689.3,4927968,40951
2024-04,11.386650217984107,11.713695638609845,563206.2,6413032,48081
2024-05,10.765666460981791,10.891399597618225,535933.1,5769677,49207
2024-06,9.225544883961621,12.902808184267371,531608.6,4904379,41201
2024-07,9.87929895967686,11.683984930177996,517916.0,5116647,44327
2024-08,9.57495016013166,12.622143150073578,523225.7,5009860,41453
2024-09,10.572646651115923,11.156125009316076,449067.5,4747832,40253
2024-10,9.44279841918481,11.367365952319476,528309.7,4988722,46476
2024-11,11.564387429666779,10.336523526114922,387299.2,4478878,37469
2024-12,9.849223300325457,11.556615266421556,421192.4,4148418,36446
2025-01,9.479429801839634,12.53250341145771,523495.2,4962436,41771
2025-02,8.360240949164117,13.676714613299978,131214.4,1096984,9594
